user_id,registration_date,country,platform,acquisition_channel
U000001,2025-08-04,BR,PC,App Store
U000002,2025-07-21,IT,Android,Google Ads
U000003,2025-10-28,CN,PC,TikTok
U000004,2025-10-06,CN,iOS,Google Ads
U000005,2026-02-06,ES,Android,TikTok
U000006,2025-10-25,CN,Android,Organic
U000007,2025-12-07,PL,iOS,YouTube
U000008,2025-08-21,GB,Android,Google Ads
U000009,2026-06-10,US,PC,Organic
U000010,2025-08-24,CN,Android,Organic
U000011,2026-04-17,DE,Android,YouTube
U000012,2025-07-25,CN,Android,Organic
U000013,2025-09-29,ES,PC,Google Ads
U000014,2025-07-15,CN,iOS,Google Ads
U000015,2025-12-03,US,PC,Google Ads
U000016,2025-11-19,FR,Android,Organic
U000017,2026-02-22,JP,Android,App Store
U000018,2025-08-18,PL,PC,Google Ads
U000019,2026-01-15,CN,iOS,Organic
U000020,2025-11-17,US,iOS,Organic
U000021,2025-12-31,KR,Android,Google Ads
U000022,2026-04-14,CA,iOS,App Store
U000023,2025-09-03,US,Android,Google Ads
U000024,2026-02-20,JP,PC,Organic
U000025,2025-07-30,CN,Android,YouTube
U000026,2025-08-25,DE,Android,Referral
U000027,2026-05-12,KR,Android,Organic
U000028,2025-07-16,KR,PC,TikTok
U000029,2026-02-16,CN,Android,Referral
U000030,2026-05-24,KR,iOS,YouTube
U000031,2025-12-12,US,Android,Google Ads
U000032,2025-12-18,US,iOS,Organic
U000033,2025-10-22,CN,iOS,YouTube
U000034,2025-09-10,KR,Android,Organic
U000035,2025-07-20,CN,PC,Organic
U000036,2025-12-25,FR,Android,YouTube
U000037,2025-07-20,DE,PC,App Store
U000038,2026-06-25,JP,iOS,Organic
U000039,2025-12-09,DE,iOS,Organic
U000040,2025-10-17,GB,Android,App Store
U000041,2025-10-11,JP,PC,Organic
U000042,2026-01-30,CA,PC,TikTok
U000043,2026-03-24,JP,PC,Google Ads
U000044,2025-11-24,BR,Android,TikTok
U000045,2025-09-05,PL,PC,Organic
U000046,2025-08-08,IT,Android,App Store
U000047,2026-01-31,CA,Android,Google Ads
U000048,2025-07-25,JP,iOS,Google Ads
U000049,2026-06-07,US,iOS,Organic
U000050,2025-11-22,PL,Android,App Store
U000051,2026-02-07,US,iOS,Google Ads
U000052,2026-05-25,JP,iOS,Organic
U000053,2026-01-14,CA,Android,YouTube
U000054,2025-07-22,US,Android,Referral
U000055,2025-08-23,US,PC,Organic
U000056,2025-09-04,BR,Android,App Store
U000057,2025-10-20,KR,Android,TikTok
U000058,2025-10-03,DE,Andriod,Organic
U000059,2025-08-05,CN,Android,YouTube
U000060,2025-10-28,BR,Android,Google Ads
U000061,2026-04-01,US,Android,TikTok
U000062,2026-01-15,BR,iOS,YouTube
U000063,2025-10-20,JP,PC,Organic
U000064,2025-12-20,GB,iOS,TikTok
U000065,2026-04-26,DE,Android,Organic
U000066,2026-03-30,DE,Android,Organic
U000067,2025-09-20,CN,Android,Google Ads
U000068,2025-07-24,US,Android,Organic
U000069,2026-07-06,JP,iOS,Organic
U000070,2026-05-27,US,Android,Referral
U000071,2026-07-03,JP,iOS,Google Ads
U000072,2026-03-04,CN,iOS,Organic
U000073,2026-01-06,CA,Android,TikTok
U000074,2025-10-11,JP,Android,Organic
U000075,2026-03-20,CA,PC,Organic
U000076,2025-11-08,DE,Android,Referral
U000077,2025-08-30,US,iOS,App Store
U000078,2025-12-11,KR,Android,YouTube
U000079,2025-10-09,ES,Android,Organic
U000080,2025-10-05,CA,PC,YouTube
U000081,2026-04-21,PL,Android,YouTube
U000082,2026-06-23,JP,iOS,Organic
U000083,2026-01-27,GB,PC,YouTube
U000084,2025-11-16,BR,Android,YouTube
U000085,2026-06-08,GB,PC,Organic
U000086,2025-07-15,JP,PC,App Store
U000087,2026-07-03,DE,PC,Organic
U000088,2025-07-14,JP,iOS,Google Ads
U000089,2026-06-06,BR,iOS,TikTok
U000090,2025-11-29,DE,Android,Organic
U000091,2026-02-16,CN,Android,YouTube
U000092,2025-07-19,BR,Android,Organic
U000093,2025-10-28,US,iOS,Google Ads
U000094,2025-10-23,PL,PC,Google Ads
U000095,2026-06-18,KR,PC,Organic
U000096,2026-01-10,KR,Android,Referral
U000097,2026-03-23,CN,iOS,Organic
U000098,2025-09-18,JP,Android,Organic
U000099,2025-10-13,JP,iOS,Organic
U000100,2026-06-18,KR,Android,Organic
U000101,2026-04-06,JP,iOS,TikTok
U000102,2025-09-21,US,Android,Organic
U000103,2025-10-31,JP,Android,Organic
U000104,2025-11-20,FR,PC,Organic
U000105,2026-06-03,JP,iOS,Organic
U000106,2026-04-02,US,Android,TikTok
U000107,2025-12-15,CA,Android,Referral
U000108,2025-08-18,KR,PC,TikTok
U000109,2025-09-22,KR,iOS,Google Ads
U000110,2025-07-18,PL,iOS,YouTube
U000111,2025-07-15,BR,PC,YouTube
U000112,2026-05-12,CA,PC,Google Ads
U000113,2025-10-16,GB,iOS,Google Ads
U000114,2025-08-04,KR,Android,Organic
U000115,2026-03-20,DE,iOS,Google Ads
U000116,2025-08-01,GB,Android,TikTok
U000117,2026-02-23,KR,iOS,Organic
U000118,2025-09-01,CN,Android,Organic
U000119,2025-12-20,BR,iOS,Google Ads
U000120,2025-07-14,FR,Android,Google Ads
U000121,2026-01-28,JP,PC,Google Ads
U000122,2025-11-25,BR,iOS,Google Ads
U000123,2026-03-03,PL,Android,Referral
U000124,2026-01-20,JP,Android,TikTok
U000125,2026-02-17,BR,iOS,Organic
U000126,2026-02-03,JP,iOS,YouTube
U000127,2026-02-06,BR,PC,Referral
U000128,2025-07-13,CN,Android,Organic
U000129,2025-12-15,CA,Android,App Store
U000130,2026-02-05,US,Android,TikTok
U000131,2026-05-08,US,Android,Organic
U000132,2025-10-20,JP,iOS,Organic
U000133,2025-08-28,KR,Android,Google Ads
U000134,2025-07-17,GB,iOS,Organic
U000135,2025-08-11,DE,Android,TikTok
U000136,2026-06-04,DE,Android,App Store
U000137,2025-10-04,KR,Android,TikTok
U000138,2025-12-16,JP,iOS,Organic
U000139,2026-05-07,IT,iOS,Google Ads
U000140,2025-08-10,CN,Android,Organic
U000141,2025-07-25,ES,iOS,Google Ads
U000142,2026-02-04,KR,Android,Organic
U000143,2026-02-17,CN,Android,Google Ads
U000144,2026-01-26,DE,Android,Referral
U000145,2026-02-23,BR,Android,Google Ads
U000146,2025-09-30,JP,Android,Organic
U000147,2026-06-01,IT,PC,Organic
U000148,2025-07-28,CN,Android,App Store
U000149,2025-12-25,JP,Android,TikTok
U000150,2026-02-16,US,iOS,App Store
U000151,2025-10-10,DE,Android,Referral
U000152,2025-07-20,JP,PC,Organic
U000153,2026-05-07,US,iOS,TikTok
U000154,2025-12-26,US,iOS,YouTube
U000155,2026-04-01,CN,Android,App Store
U000156,2025-07-16,BR,PC,Referral
U000157,2025-12-06,JP,Android,Referral
U000158,2025-10-09,CN,iOS,Google Ads
U000159,2025-09-07,KR,iOS,Organic
U000160,2026-01-06,US,Android,Google Ads
U000161,2025-12-23,BR,iOS,Organic
U000162,2026-02-01,US,Android,Google Ads
U000163,2025-08-16,CA,Android,Referral
U000164,2025-07-24,FR,iOS,TikTok
U000165,2025-09-07,CN,iOS,YouTube
U000166,2025-12-08,KR,Android,YouTube
U000167,2026-01-23,CN,iOS,Google Ads
U000168,2026-03-02,FR,PC,Google Ads
U000169,2026-02-14,FR,Android,Organic
U000170,2025-11-20,US,Android,Google Ads
U000171,2025-11-07,DE,iOS,Organic
U000172,2026-04-11,FR,PC,YouTube
U000173,2026-03-12,KR,PC,Referral
U000174,2025-07-14,GB,iOS,Organic
U000175,2026-04-17,DE,Android,Google Ads
U000176,2026-02-03,GB,iOS,App Store
U000177,2025-07-18,JP,PC,Referral
U000178,2025-09-21,US,iOS,YouTube
U000179,2026-02-08,PL,PC,TikTok
U000180,2025-07-28,FR,iOS,Google Ads
U000181,2025-07-16,JP,Android,Organic
U000182,2025-12-06,CN,Android,YouTube
U000183,2026-01-08,FR,Android,TikTok
U000184,2026-01-22,DE,iOS,Organic
U000185,2025-12-16,JP,Android,YouTube
U000186,2025-08-16,PL,PC,TikTok
U000187,2025-08-07,KR,PC,Referral
U000188,2025-10-02,DE,iOS,App Store
U000189,2026-03-21,DE,Android,TikTok
U000190,2025-10-11,FR,iOS,Google Ads
U000191,2025-09-07,CN,Android,Organic
U000192,2026-01-14,BR,PC,Referral
U000193,2025-11-25,FR,iOS,Google Ads
U000194,2026-06-26,DE,PC,YouTube
U000195,2026-05-06,DE,Android,TikTok
U000196,2026-03-06,PL,Android,YouTube
U000197,2026-05-21,CA,iOS,TikTok
U000198,2026-03-14,US,Android,TikTok
U000199,2026-07-07,CN,iOS,Organic
U000200,2025-09-28,US,iOS,TikTok
U000201,2026-04-29,BR,Android,App Store
U000202,2026-05-09,FR,iOS,App Store
U000203,2025-07-17,CN,Android,App Store
U000204,2025-08-10,ES,PC,Organic
U000205,2025-08-02,BR,Android,App Store
U000206,2026-01-12,US,iOS,Google Ads
U000207,2025-12-27,CN,Android,TikTok
U000208,2026-01-20,,iOS,Organic
U000209,2026-07-08,BR,PC,Google Ads
U000210,2026-02-27,DE,Android,Google Ads
U000211,2026-06-04,CN,Android,Organic
U000212,2025-08-16,CA,iOS,Google Ads
U000213,2025-08-28,JP,iOS,Google Ads
U000214,2025-11-10,DE,Android,TikTok
U000215,2025-09-29,US,Android,Organic
U000216,2025-09-21,CN,iOS,TikTok
U000217,2025-07-22,DE,Android,Referral
U000218,2026-02-03,CN,iOS,TikTok
U000219,2025-09-19,BR,iOS,Organic
U000220,2026-05-29,US,Android,Google Ads
U000221,2025-12-11,CN,Android,Organic
U000222,2025-07-16,US,iOS,Organic
U000223,2025-12-13,JP,Android,YouTube
